Group,Country,Shipper Name,Shipper Address,Location Index
0.0,IT,& COSTA SRL, VIA DELLE PASTORELLE 6 ,0
0.0,IT,& COSTA SRL, VIA DELLE PASTORELLE 10 ,0
1.0,DK,&TRADETION,KRONPRINSESSEGADE 4 COPENHAGEN K 1306 DK ,1
1.0,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 INDRE BY ,1
,DK,&TRADETION A/S,OESTERBROGADE 70 ,2
,DK,&TRADETION A/S,SNORRESGADE 22 ,2
1.0,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 ,2
1.0,IT,&TRADETIONS A/S,KRONPRINSESSEGADE 4 1306 KOBENHAVN DK ,2
,GB,0,NAAS INDUSTRIAL ESTATE NAAS ,-1
2.0,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY CAMP ARIFJAN KUWAIT CITY KW ,3
2.0,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY KUWAIT CITY KW 1 ARIFJAN KUWAIT W58GQR ,3
,AE,0044 AD BN,01 HHB ADA BN FWD OPERATION SPARTAN SHIELD AL DHAFRA AIRBASE AL DHAFRA AIRBASE AE 09853 ,-1
,RO,0156 SC BN HHC EXPEDITIONA,OPERATION INHERENT RESOLVE CAMP BUEHRING KUWAIT CITY KW 09330 ,-1
,CN,07 LIPINWANYING,CHANGXINGLU ,-1
,CN,07 LIPINWANYING,HUANGBUZHENZHENHAIBIN5LU ,-1
3.0,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX:250-6927640 ,4
3.0,CA,0904329 BC LTD,PO BOX 307 30 ROUMIEU DRIVE BURNS LAKE BRITISH COLUMBIA CANADA V0J1E0 PHONE1-250-692-7640 ,4
3.0,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX250-6927640 ,4
,VN,1 AROMA BAY CANDLES CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 AROMA BAY CANDLES CO LTD TIEU TRA AREA HUNG DAO WARD,-1
,IN,1 ARTIFACT DECOR INDAI,305 SHEETLA ROAD NEW AGRA,-1
4.0,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L AILLERIE 95650 FR ,5
4.0,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L?AILLERIE 95650 FR ,5
,VN,1 J D VINAKO CO LT,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 J D VINAKO CO LTD,-1
,VN,1 LANGHAM GARMENT CO LT,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 LANGHAM GARMENT CO LTD,6
,VN,1 LEE SUY VINA,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 LEE SUY VINA,-1
5.0,na,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR TANAWADA PHANTA ,7
5.0,IN,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR JODHPUR RJ 342013 IN ,7
,KH,1 RONG WIN GARMENT CO LTD,MAERSK LOGISTIC & SERVICE CAMBODIA CO LTD O/B 1 RONG WIN GARMENT CO LTD BUILDING J VATTANAC INDUSTRIAL PARK,-1
