Group,Country,Shipper Name,Shipper Address,Location Index,Name Confidence,Address Confidence,Overall Similarity,False Positive
0.0,IT,& COSTA SRL, VIA DELLE PASTORELLE 6 ,0,100.0,94.73684210526316,97.71167048054922,No
0.0,IT,& COSTA SRL, VIA DELLE PASTORELLE 10 ,0,100.0,94.73684210526316,97.71167048054922,No
1.0,DK,&TRADETION,KRONPRINSESSEGADE 4 COPENHAGEN K 1306 DK ,1,90.9090909090909,83.07692307692307,87.50380054727881,No
1.0,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 INDRE BY ,1,95.65217391304348,67.85714285714286,83.56737780178236,No
,DK,&TRADETION A/S,OESTERBROGADE 70 ,-1,,,,
,DK,&TRADETION A/S,SNORRESGADE 22 ,-1,,,,
1.0,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 ,1,95.65217391304348,69.38775510204081,84.2328613865206,No
1.0,IT,&TRADETIONS A/S,KRONPRINSESSEGADE 4 1306 KOBENHAVN DK ,1,95.65217391304348,69.38775510204081,84.2328613865206,No
2.0,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY CAMP ARIFJAN KUWAIT CITY KW,2,100.0,82.22222222222221,92.27053140096619,No
2.0,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY KUWAIT CITY KW 1 ARIFJAN KUWAIT W58GQR ,2,100.0,82.22222222222221,92.27053140096619,No
,AE,0044 AD BN,01 HHB ADA BN FWD OPERATION SPARTAN SHIELD AL DHAFRA AIRBASE AL DHAFRA AIRBASE AE 09853 ,-1,,,,
,RO,0156 SC BN HHC EXPEDITIONA,OPERATION INHERENT RESOLVE CAMP BUEHRING KUWAIT CITY KW 09330 ,-1,,,,
,CN,07 LIPINWANYING,CHANGXINGLU ,-1,,,,
,CN,07 LIPINWANYING,HUANGBUZHENZHENHAIBIN5LU ,-1,,,,
3.0,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX:250-6927640 ,3,100.0,87.35632183908046,94.50274862568716,No
3.0,CA,0904329 BC LTD,PO BOX 307 30 ROUMIEU DRIVE BURNS LAKE BRITISH COLUMBIA CANADA V0J1E0 PHONE1-250-692-7640 ,-1,,,,
3.0,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX250-6927640 ,3,100.0,87.35632183908046,94.50274862568716,No
,VN,1 AROMA BAY CANDLES CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 AROMA BAY CANDLES CO LTD TIEU TRA AREA HUNG DAO WARD,-1,,,,
,IN,1 ARTIFACT DECOR INDAI,305 SHEETLA ROAD NEW AGRA,-1,,,,
4.0,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L AILLERIE 95650 FR ,4,100.0,98.59154929577466,99.38763012859768,No
4.0,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L?AILLERIE 95650 FR ,4,100.0,98.59154929577466,99.38763012859768,No
,VN,1 J D VINAKO CO LT,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 J D VINAKO CO LTD,-1,,,,
,VN,1 LANGHAM GARMENT CO LT,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 LANGHAM GARMENT CO LTD,5,94.11764705882352,83.33333333333334,89.42881500426259,No
,VN,1 LEE SUY VINA,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 LEE SUY VINA,-1,,,,
5.0,na,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR TANAWADA PHANTA ,6,100.0,66.66666666666667,85.50724637681161,No
5.0,IN,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR JODHPUR RJ 342013 IN ,6,100.0,66.66666666666667,85.50724637681161,No
,KH,1 RONG WIN GARMENT CO LTD,MAERSK LOGISTIC & SERVICE CAMBODIA CO LTD O/B 1 RONG WIN GARMENT CO LTD BUILDING J VATTANAC INDUSTRIAL PARK,-1,,,,
,CN,1 SUQIAN CAP SOURCING HEADWEAR CO LTD,MATSON LOGISTICS SHANGHAI CO LTD ON BEHALF OF 1 SUQIAN CAP SOURCING HEADWEAR CO LTD NO 3 HUANGDUN INDU STRY ROAD HUANGDUN TOWN 99999,-1,,,,
,CN,1 TOP INDUSTRIAL LTD,SHA CHONG INDUSTRIAL ZONE DA ZE TOWN XINHUI ,-1,,,,
,CN,1 TOP WING INTERNATIONAL INDUSTRIAL LIMITED,MATSON LOGISTICS SHANGHAI CO LTD ON BEHALF OF 1 TOP WING INTERNATIONAL INDUSTRY LIMITED EAST WING 4 FL OOR SVT BUILDING 23 HUA 99999,-1,,,,
6.0,VN,1/ FASHION GARMENTS CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ FASHION GARMENTS CO LTD TAM THANG INDUSTRIAL ZONE TAM THANG TAM KY CITY QUANG NAM#,7,100.0,94.79166666666666,97.73550724637681,No
6.0,VN,1/ FASHION GARMENTS CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ FASHION GARMENTS CO LTD TAM THANG INDUSTRIAL ZONE TAM THANG TAM KY CITY #,7,100.0,94.79166666666666,97.73550724637681,No
,VN,1/ JULIUS INDUSTRIES LIMITED,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1/ JULIUS INDUSTRIES LIMITED ADDRESS LOT 23 NOI BAI LNDUSTRIAL ZONE QUANG TIEN COMMUNE X,-1,,,,
,VN,1/ LANGHAM GARMENT LOT,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ LANGHAM GARMENT LOT 21 6TH STREET TAY NINH 73000 VN,5,94.11764705882352,83.33333333333334,89.42881500426259,No
,VN,1/ NAM THUAN CO LTD,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1/ NAM THUAN COMPANY LIMITED RUC LIEN HAMLET THUY SON COMMUNE THUY NGUYEN DISTRICT X,-1,,,,
,VN,1/ TAEYANG VINA CO LTD, 2/ AROMABAY CANDLES CO LTD 206 ROAD PHO NOI A INDUSTRIAL ZONE HUNG YEN 160000 VN ,-1,,,,
,ES,100 MISTERIOS LDA,RUA DO ROSARIO 271 ,8,80.0,81.08108108108108,80.47003525264397,No
,JP,100 PERCENT INC,69-1 GANYUDO-NANJOJI ,-1,,,,
,CN,1000 MILES LIMITED, NO 1 WEN HUA ROAD YIWU ZHEJIANG 32200 CN ,-1,,,,
7.0,HK,1000 TOYS INC,FLAT B-E 33/F PLAZA 88 NO 88 YEUNG UK ROAD TSUEN WAN NEW TERRITORIES HK ,9,100.0,100.0,100.00000000000001,No
7.0,CN,1000 TOYS INC,FLAT B-E 33/F PLAZA 88 NO 88 YEUNG UK ROAD TSUEN WAN NEW TERRITORIES HK ,9,100.0,100.0,100.00000000000001,No
,ES,100MISTERIOS LDA,RUA DO ROSARIO 271 GARAGEM ,8,80.0,81.08108108108108,80.47003525264397,No
8.0,DE,101 COPENHAGEN APS,OESTERGADE 17 COPENHAGEN 1100 DK ,10,100.0,59.57446808510638,82.42368177613322,No
8.0,DE,101 COPENHAGEN APS,OESTERGADE 17 INDRE BY ,10,100.0,59.57446808510638,82.42368177613322,No
,ES,1010 PREMIUM DRINKS SLU B66220708,CL VIA SERGIA 96 08302 MATARO BARCELONA BARCELONA ES ,-1,,,,
9.0,HK,1010 PRINTING INTERNATIONAL LIMITE,LEVEL 11 EAST WING NEO 123 HOI BU KWUN TONG KOWLOON HK ,11,89.28571428571429,91.42857142857143,90.21739130434783,No
9.0,CN,1010 PRINTING INTERNATIONAL LIMITE,LEVEL 11 EAST WING NEO 123 HOI BU KWUN TONG KOWLOON HK ,11,89.28571428571429,91.42857142857143,90.21739130434783,No
9.0,HK,1010 PRINTING INTERNATIONAL LIMITED, LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON ,11,87.71929824561404,100.0,93.05873379099924,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KWAI CHUNG N T HO ,11,64.86486486486487,73.07692307692308,68.4353249570641,No
9.0,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG ,11,64.86486486486487,92.6829268292683,76.95967441460549,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EASTWING NEO 123 HOI BUN ROAD KWUN TONG HONG KONG HONG KONGHK ,11,64.86486486486487,62.745098039215684,63.94322711458262,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON HK ZIP CODE 99 ,11,64.86486486486487,76.0,69.70622796709753,No
10.0,HK,1010 PRINTING INTERNATIONAL LTD,26/F 625 KINGS ROAD NORTH POINT ,12,100.0,68.57142857142857,86.33540372670808,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROADKWUN TONG HONG KONG HONG KONG HK ,11,64.86486486486487,74.50980392156863,69.05831662864912,No
9.0,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BU N ROAD KWUN TONG KOWLOON ,11,64.86486486486487,90.0,75.79318448883667,No
