Group,Country,Shipper Name,Shipper Address 
0,IT,& COSTA SRL, VIA DELLE PASTORELLE 6 
0,IT,& COSTA SRL, VIA DELLE PASTORELLE 10 
1,DK,&TRADETION,KRONPRINSESSEGADE 4 COPENHAGEN K 1306 DK 
1,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 INDRE BY 
,DK,&TRADETION A/S,OESTERBROGADE 70 
,DK,&TRADETION A/S,SNORRESGADE 22 
1,DE,&TRADETION A/S,KRONPRINSESSEGADE 4 
1,IT,&TRADETIONS A/S,KRONPRINSESSEGADE 4 1306 KOBENHAVN DK 
2,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY CAMP ARIFJAN KUWAIT CITY KW
2,AE,0000 HQ HQ ASG KUWAIT,OEF AWCF SSF GCSS ARMY KUWAIT CITY KW 1 ARIFJAN KUWAIT W58GQR 
,AE,0044 AD BN,01 HHB ADA BN FWD OPERATION SPARTAN SHIELD AL DHAFRA AIRBASE AL DHAFRA AIRBASE AE 09853 
,RO,0156 SC BN HHC EXPEDITIONA,OPERATION INHERENT RESOLVE CAMP BUEHRING KUWAIT CITY KW 09330 
,CN,07 LIPINWANYING,CHANGXINGLU 
,CN,07 LIPINWANYING,HUANGBUZHENZHENHAIBIN5LU 
3,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX:250-6927640 
3,CA,0904329 BC LTD,PO BOX 307 30 ROUMIEU DRIVE BURNS LAKE BRITISH COLUMBIA CANADA V0J1E0 PHONE1-250-692-7640 
3,CA,0904329 BC LTD,30 ROUMIEU ROAD P O BOX 307 BURNS LAKE B C VOJ 1EO CANADA TEL/FAX250-6927640 
,VN,1 AROMA BAY CANDLES CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 AROMA BAY CANDLES CO LTD TIEU TRA AREA HUNG DAO WARD
,IN,1 ARTIFACT DECOR INDAI,305 SHEETLA ROAD NEW AGRA
4,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L AILLERIE 95650 FR 
4,FR,1 BLOW,25 CHEMIN DE GEROCOURT BOISSY L?AILLERIE 95650 FR 
,VN,1 J D VINAKO CO LT,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 J D VINAKO CO LTD
,VN,1 LANGHAM GARMENT CO LT,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1 LANGHAM GARMENT CO LTD
,VN,1 LEE SUY VINA,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1 LEE SUY VINA
5,na,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR TANAWADA PHANTA 
5,IN,1 OAK INTERNATIONAL K, NO 34/60 GANPATI VIHAR JODHPUR RJ 342013 IN 
,KH,1 RONG WIN GARMENT CO LTD,MAERSK LOGISTIC & SERVICE CAMBODIA CO LTD O/B 1 RONG WIN GARMENT CO LTD BUILDING J VATTANAC INDUSTRIAL PARK
,CN,1 SUQIAN CAP SOURCING HEADWEAR CO LTD,MATSON LOGISTICS SHANGHAI CO LTD ON BEHALF OF 1 SUQIAN CAP SOURCING HEADWEAR CO LTD NO 3 HUANGDUN INDU STRY ROAD HUANGDUN TOWN 99999
,CN,1 TOP INDUSTRIAL LTD,SHA CHONG INDUSTRIAL ZONE DA ZE TOWN XINHUI 
,CN,1 TOP WING INTERNATIONAL INDUSTRIAL LIMITED,MATSON LOGISTICS SHANGHAI CO LTD ON BEHALF OF 1 TOP WING INTERNATIONAL INDUSTRY LIMITED EAST WING 4 FL OOR SVT BUILDING 23 HUA 99999
6,VN,1/ FASHION GARMENTS CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ FASHION GARMENTS CO LTD TAM THANG INDUSTRIAL ZONE TAM THANG TAM KY CITY QUANG NAM#
6,VN,1/ FASHION GARMENTS CO LTD,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ FASHION GARMENTS CO LTD TAM THANG INDUSTRIAL ZONE TAM THANG TAM KY CITY #
,VN,1/ JULIUS INDUSTRIES LIMITED,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1/ JULIUS INDUSTRIES LIMITED ADDRESS LOT 23 NOI BAI LNDUSTRIAL ZONE QUANG TIEN COMMUNE X
,VN,1/ LANGHAM GARMENT LOT,CENTURY DISTRIBUTION SYSTEMS INC ON BEHALF OF 1/ LANGHAM GARMENT LOT 21 6TH STREET TAY NINH 73000 VN
,VN,1/ NAM THUAN CO LTD,CENTURY DISTRIBUTION SYSTEM INC ON BEHALF OF 1/ NAM THUAN COMPANY LIMITED RUC LIEN HAMLET THUY SON COMMUNE THUY NGUYEN DISTRICT X
,VN,1/ TAEYANG VINA CO LTD, 2/ AROMABAY CANDLES CO LTD 206 ROAD PHO NOI A INDUSTRIAL ZONE HUNG YEN 160000 VN 
,ES,100 MISTERIOS LDA,RUA DO ROSARIO 271 
,JP,100 PERCENT INC,69-1 GANYUDO-NANJOJI 
,CN,1000 MILES LIMITED, NO 1 WEN HUA ROAD YIWU ZHEJIANG 32200 CN 
7,HK,1000 TOYS INC,FLAT B-E 33/F PLAZA 88 NO 88 YEUNG UK ROAD TSUEN WAN NEW TERRITORIES HK 
7,CN,1000 TOYS INC,FLAT B-E 33/F PLAZA 88 NO 88 YEUNG UK ROAD TSUEN WAN NEW TERRITORIES HK 
,ES,100MISTERIOS LDA,RUA DO ROSARIO 271 GARAGEM 
8,DE,101 COPENHAGEN APS,OESTERGADE 17 COPENHAGEN 1100 DK 
8,DE,101 COPENHAGEN APS,OESTERGADE 17 INDRE BY 
,ES,1010 PREMIUM DRINKS SLU B66220708,CL VIA SERGIA 96 08302 MATARO BARCELONA BARCELONA ES 
9,HK,1010 PRINTING INTERNATIONAL LIMITE,LEVEL 11 EAST WING NEO 123 HOI BU KWUN TONG KOWLOON HK 
9,CN,1010 PRINTING INTERNATIONAL LIMITE,LEVEL 11 EAST WING NEO 123 HOI BU KWUN TONG KOWLOON HK 
9,HK,1010 PRINTING INTERNATIONAL LIMITED, LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KWAI CHUNG N T HO 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EASTWING NEO 123 HOI BUN ROAD KWUN TONG HONG KONG HONG KONGHK 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON HK ZIP CODE 99 
10,HK,1010 PRINTING INTERNATIONAL LTD,26/F 625 KINGS ROAD NORTH POINT 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROADKWUN TONG HONG KONG HONG KONG HK 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BU N ROAD KWUN TONG KOWLOON 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN KWUN TONG 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING ROAD 123 HOI BUN ROAD KWUN TONG KOWLOON 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG KOWLOON HK 
10,SG,1010 PRINTING INTERNATIONAL LTD,26/F 625 KING S ROAD 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KWUN TONG HONG KONG HONG KONG HONG KONG HK 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING ROAD 123 HOI BUN ROAD KWUN TONGKOWLOON 
9,CN,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO123 HOI BUN ROAD KWUN TONG HK 
9,HK,1010 PRINTING INTERNATIONAL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN ROAD KOWLOON HK 
9,CN,1010 PRINTING INTL LTD,123 HOI BUN ROAD LEVEL 11 EAST WINGNEO HONG KONG CHINA 51800 
9,CN,1010 PRINTING INTL LTD,HOI BUN ROAD 123 LEVEL 11 EAST WING NEO 
9,HK,1010 PRINTING INTL LTD,LEVEL 11 EAST WING NEO 123 HOI BUN RD 
9,CN,1010 PRINTING INTL LTD,BUN RD KWUN TONG 
9,CN,1010 PRINTING INTL LTD,HOI BUN ROAD 123 LEVEL 11 EAST WINGNEO HONG KONG CHINA 51800 
,GB,111 SKIN LTD,5 BYWELL PLACE W1 
,SG,12 CHANGI SOUTH,PT BINTAN BERSATU APPAREL ON BEHALF 12 CHANGI SOUTH LANE
,CN,1233 INTERNATIONAL TRADE FUJIAN CO LTD, NO B6058 EAST EXHIBITION HALL FSICEC NO 198 WEST NANJIANGBIN AVENUE INFREE TRADE ZOOM CHENGMEN+ 
11,JM,12602415 CANADA INC,133 BOAKE TRAIL RICHMOND HILL ONTARIO CANADA L4B 3V8 
11,JM,12602415 CANADA INC,133 BOAKE TRAIL RICHMOND HILL ON L4B 3V8 ATTN: KEVIN 
,TH,129 MOO1 T MAKHAMKOO RAYONG,ALLPORT CARGO SERVICES THAILAND CO LTD ON BEHALF OF 129 MOO1 T MAKHAMKOO RAYONG 2118 0 TH
,ID,12950,PT APL LOGISTICS JL PROF DOKTER SATRIO KAV E4 NO 6 RT 5/RW 2 KUNINGAN DKI JAKARTA 10160 ON BEHALF OF SHIPPER 12950
,CA,1316359 ALBERTA LTD,CLOTHING FOR 109-18 HIGHLAND PARK WAY NE AIRDRIE AB T4A 0R1 CANADA 
,AR,14 DE JULIO SA ACHA,983 MAR DEL PLATA - ARGENTINA CUIT 30-67957864-9 
,CA,14687469 CANADA INC/DSOUZA FOR,229 YONGE ST TORONTO ON M5B 1N9TEL 365-306-1425EMAIL DSOUZAEXPORTERGMAIL COM 
,CA,14792823 CANADA INC,O/A CHEEMA FREIGHTER ADRES SUITE3 22 FREDERICK ST KITCHENER ON N2H 6M6 TEL 226-336-3749 
,GB,14TH SIGNAL REGIMENT / QM T DEPT,CAWDOR BARRACKS BRAWDY 
,FR,18 SAS,13 CHEMIN DES CHAUDRONNIERS CHAUDRONNIERS 
,LA,1818 S A,C AV 22 DE JULIO NRO 230 ATE - LIMA - PERU RUC: 20505108672 
,IT,1825 SRL, VIA ALDO MORO N 3/4 13900 - BIELLA BI ITALY 
,FR,1864 SARL,RUE DU GENERAL MUFFAT DE ST AMOUR MEGEVE 74120 FR 
,KR,19 SINHANG,10 RO JINHAE GU CHANGWON SI GYEONGSANGNAM DO REPUBLIC OF KOREA 
12,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL HONG KONG CHINA 
12,CN,1BYONE HOLDING LIMITED, 19H MAXGRAND PLAZA NO 3 TAI YAU STREET SAN PO KONG KL CHINA 
,GB,1ENV SOLUTIONS,AVIATION WAY SOUTHEND AIRPORT 
,ES,1NYECTA MOULDED PARTS S L,CALLE HIGUERAS 14 NAVE 7 VALLADOLID SPAIN 
,GB,1ST DIBS COM,HILLWAY GARAGE HILLWAY 
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI HONGKONG 999077 
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG 999077 
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BU ILDING LOCKHART ROAD WANCHAI HON G KONG CHINA 
13,CN,1ST SUCCESS LIMITED, ROOM 1607 16TH FLOOR MUNICIPAL BUILDING LOCKHART ROAD WANCHAI 
,CN,2 AM INNOVATIONS LTD,ROOM1115 11/F TOWER A REGENT CENTRE63 WO YI HOP ROAD KWAI CHUNG 
,IT,2 GAMMA AUTOMOTIVE SRL, VIA TRENTO 23 
14,SV,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI 12084 IT 
14,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 MONDOVI ITALY 
14,IT,2 GAMMA SRL, CORSO INGHILTERRA 15 
,PR,2 GO STORAGE,PO BOX 446 CAGUAS PR 00726 
,IT,2 GR S R L, VIA VERZELLONI 14 CORREGGIO ITALY 
,GB,2 HEADS DESIGN LTD,REGATTA HOUSE 67-71 HIGH STREET MARLOW BUCKINGHAMSHIRE SL7 1AB VAT GB270453025000 CTC STEVE PARRA TEL 310 4639934 EMAIL 
,CN,2/F EDGE,DHL GLOBAL FORWARDING HK LTD O/B 2/F EDGE 30-34 KWAI WING ROAD
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU EY NO-83/1 VILLAGE-DHRUB NEAR ADAN PORT TAL MUNDRA KUTCHH GUJAR 
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU NO-83/1 VILLAGE-DHRUB NEAR ADANI MUNDRA KUTCHH GUJARAT INDIA - 
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SU 83/1 VILLAGE-DHRUB NEAR ADANI POR MUNDRA KUTCHH GUJARAT INDIA - 
15,IN,20 MICRONS LIMITED, PLOT NO-01/02 AT DHRUB REVENUE SURVEY NO-83/1 VILLAGE-DHRUB NEAR ADANI PORT TAL MUNDRA KUTCHH 
,CA,2000007 ONTARIO INC,3605 WESTON ROAD TORONTO ON CANADA 
,CN,21 KEG CO LTD, B502 INNOVATION BUILDING INFORMATI ON INDUSTRY GARDEN CHAOYANG ROAD 
,TR,212 BOSPHORUS GIDA TEKS REKL ORG,FATIH MH PROF DR NECMETTIN ERBAKAN 
,BR,2124503 ALBERTA LTD,3200 10180-101 STREET EDMONTON ALBERTA T53W8 
16,CA,2155604 ONTARIO INC, 85 MIDWEST ROAD SCARBOROUGH ON CANADA M1P3A6 SCARBOROUGH ON M1P3A6 CA 
16,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA 16472983121 
16,CA,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA 
16,JM,2155604 ONTARIO INC,85 MIDWEST ROAD SCARBOROUGH CANADA 
,CA,219 9030 LESLIE,K & K INT L HOLDINGS INC ON BEHALF #219 - 9030 LESLIE STREET RICHMOND RICHMOND ON L4B 1G2 CANADA
,IN,21G DESIGN WORKS PVT LTD, NO 32/33/5B AND 34/33/5B 2ND FLOOR ANNAPOORNA INDUSTRIAL COMPOUND 
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHAWAN 
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD 
17,CN,21ST CENTURY BRANDS LIMITED, UNIT 07 10 28 F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN 
