index,group,shipper_name,first3_addresses,set,Location Index,Name Confidence,Address Confidence,Overall Similarity
344930,0.0,CHANGSHA XINGOUE TRADE CO LTD,ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAYUAN EAST ROAD AND E CHANGSHA FN,test,0,68.08510638297872,58.71559633027523,64.01140636006417
125424,0.0,CHANGSHA XINGQUE TRADE,1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD; 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E,test,0,100.0,71.81818181818183,87.74703557312253
308440,0.0,CHANGSHA XINGQUE TRADE CO LTD,RM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST RD AND E ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E CHA NGSHA,test,0,100.0,71.81818181818183,87.74703557312253
352249,,CHANGSHA XINYUANMEI BEAUTY PRODUCTS,NO 39 JINWANG ROAD SOUTH JINYU INDUSTRIAL PARK NINGXIANG COUNTY CHANGSHA CITY HUNAN PROVINCE CHINA,val,1,95.08196721311475,90.0,92.87241625089095
477135,,CHANGSHA XINZHIGUAN FURNITURE CO,ROOM 718 BUILDING 2 HAIFINGYUAN 229 GUYUANROAD CHANGSHA HIGH-TECH,val,0,68.08510638297872,58.71559633027523,64.01140636006417
491845,,CHANGSHA XIONGHANG IMPORT & EXPORT CO LTD,BLDG 2 CROSSROADS TUOJI RD PITAG VILLAGE CHANGSHA CITY CHINA,val,-1,,,
190984,,CHANGSHA XIRUAN TECHNOLOGY CO LTD,NO 188 FURONG MIDDLE ERDUAN RD RM 5039-5042-466 HELONG STADIUM,val,-1,,,
682823,,CHANGSHA XIYUETAO E COMMERCE CO,CHINA AFRICA ECONOMIC AND TRADE 5F R525 PHASE II CHANGSHA FN 410600,val,-1,,,
425728,,CHANGSHA XUANCAI DOUWA MATERNAL AND INFANTYADA INTERNATIONAL NEW CITY,NO 277 LIUYANG AVENUE JILI STREET,val,-1,,,
118100,,CHANGSHA XUANGOU TRADE CO LTD,ROOM 1301-3 BUILDING B-8 LUGU YUYUAN WORKSHOP NO 27 WENXUAN ROAD CHANGSHA HI-TECH DEVELOPMENT,val,-1,,,
169008,,CHANGSHA XUNMING TRADE CO LTD,2 F CINOREHENSIVE BUILDING CHANGSHA HUANGHUA 410600 CHINA ;  2 F COMPREHENSIVE BG CHANGSHA HUANGHUA CHINA ;  2 F COMPREHENSIVE BLDG CHANGSHA HUANGHUA CHINA 410600,val,-1,,,
213104,,CHANGSHA XYZ TRADE CO LTD,#101 NO 4 INDUSTRIAL OCCUPANCY NO 9 XINCAI ROAD CHANGSHU HUNAN CN ;  #101 NO 4 INDUSTRIAL OCCUPANCY NO 9 XINCAI ROAD H-TECH DEVELOPMEN ZONE CHANGSHA HUNAN CHINA,val,-1,,,
59314,,CHANGSHA YALIFANG TECHNOLOGY DEVELO 8TH,FLOOR BUILDING B ZHONGYU GREEN INDUSTRY WENGE ROAD GONGMING TOWN SHENZHEN CHINA,val,-1,,,
95822,,CHANGSHA YEE WIN CO LTD,NO 70 CHEZHAN N ROAD CHANGSHA 430000 CN ;  RM 1403 BUILDING 1 OAK PLAZA NO 588 LIUYANGHE ROAD CITY CHANGSHA CHINA ;  RM 1403 BUILDING 1 OAK PLAZA NO 588 LIUYANGHE ROAD CITY CHANGSHA PROVINCE HUNAN CHINA,test,-1,,,
697505,,CHANGSHA YIMANKEJI YOUXIANGONGSI,SHUYUANLU SHAHEJIE 90HAO-165,test,-1,,,
110658,,CHANGSHA YINGTAI INSTRUMENT CO LTD,LIAN DONG JIN YU INDUSTRIAL CENTER WANGCHENG ECONOMIC DEVELOPMENT ZONECHANGSHA CITY CHINA CN,val,-1,,,
653682,,CHANGSHA YINGZHIJIE SHANGMAO CO LT,DXINHEJIEDAO WUJIALINGLU87HAO JUNYUEXIANGDI11DONG105,val,-1,,,
147356,,CHANGSHA YINJI GIFT TRADE CO LTD,ROOM G-601 SENLIN YAYUAN NO 39 OF WAYAO ROAD YUHUA DISTRICT CHANGSHA ;  ROOM G-601 SENLIN YAYUANNO 39 OF WAYAO ROAD YUHUA DISTRICT CHANGSHA C N,val,-1,,,
484448,,CHANGSHA YIWENG E COMMERCE CO LTD,CHINA HUNAN PILOT FREE TRADE Z ROO M 525-046 5TH FLOOR CHANGSHA FN 410600 ;  PILOT FREE TRADE Z ROOM 525-046 5THFLOOR CHANGSHA CN,test,-1,,,
