Company Name 1,Address 1,Company Name 2,Address 2,Name Confidence,Address Confidence,Overall Similarity
CHANGSHA XIRUAN TECHNOLOGY CO LTD,NO 188 FURONG MIDDLE ERDUAN RD RM 5039-5042-466 HELONG STADIUM,CHANGSHA ZHUOLAN E COMMERCE CO LT,DNO 380 SECTION 3 FURONG MIDDLE R OAD JINPENLING STREET ROOM 218 33,61.224489795918366,60.0,60.71428571428572
CHANGSHA YIYAO FURNITURE CO LTD,NO 7 DONGSHENG ROAD CHENGJIAO STREET NINGXIANG CITY CHANGSHA CITY HUNAN PROVINCE 410699 CHINA,CHANGSHU XINTEXIN TRADE CO LTD,NO 88 HAIFENG ROAD CHANGSHU CITY JIANGSU PROVINCE CHINA ;  NO 88 HAIFENG ROAD CHANGSHU CN,60.465116279069754,67.74193548387098,63.497124281070256
CHANGSHA ZOOMPEY IMPORT & EXPORT CO LTD,NO 828 FURONG ROAD CHANGSHA HUNAN 410000 CHINA,CHANGSHU EVERGRANDEIMPORT&EXPORTCO LTD,NO 2 DIANHU ROAD CHANGSHU JIANGSU CHINA CN,59.01639344262295,66.66666666666667,62.2040072859745
CHANGSHA ZOOMPEY IMPORT & EXPORT CO LTD,NO 828 FURONG ROAD CHANGSHA HUNAN 410000 CHINA,CHANGSHU WINTEX KNITWEAR EXPORTER C B,807 NO 12 HUANGHE RD CHANGSHU 215500 CN,58.62068965517242,72.0,64.19540229885058
CHANGSHU 3F ZHONGHAO NEW CHEMICAL M,NO 10 XINGYU RD-HAIYU TOWN 215522 CHANGSHU CITY JIANGSU CN,CHANGSHU CHENMING HIGH TECH,NO 1 FUYUAN ROAD SHANGHU TOWN CHANGSHU CITY JIANGSU PROVINCE CHINA 215500 PHONE: 86-512-52122530,64.15094339622642,65.95744680851064,64.90365315134486
CHANGSHU 3F ZHONGHAO NEW CHEMICAL M,NO 10 XINGYU RD-HAIYU TOWN 215522 CHANGSHU CITY JIANGSU CN,CHANGSHU JHOSIN COMMUNICATION TECHNOLOGY CO LTD,NO 31 QINGDAO ROAD CHANGSHU CITY JIANGSU PROVINCE CHINA CN,57.57575757575757,70.0,62.75252525252525
CHANGSHU 3F ZHONGHAO NEW CHEMICAL M,NO 10 XINGYU RD-HAIYU TOWN 215522 CHANGSHU CITY JIANGSU CN,CHANGSHU ZHENGFANGYI MANUFACTURE,NO 198 JIANGXIA ROAD MEILI TOWN CHANGSHU CITY SUZHOU JIANGSU CHINA 215511,57.62711864406781,67.41573033707866,61.70570684948899
CHANGSHU 3F ZHONGHAO NEW CHEMICAL M,NO 10 XINGYU RD-HAIYU TOWN 215522 CHANGSHU CITY JIANGSU CN,CHANGSHU ZHENGFANGYI MANUFACTURE CO,NO 198 JIANGXIA ROAD MEILI TOWN CHANGSHU CITY JIANGSU PROVINCE CH,57.62711864406781,60.215053763440864,58.70542494380658
CHANGSHU AOGEJIA BUSINESS DEPARTMEN NO,4222-76 FOURTH FLOOR HARDWARE MARKET CHANGSHU JIANGSU CHINA,CHANGSHU CITY MOCHENGSTREET AOGEJIA DAILY SALES DEPARTMENT NO,4222-76 FLOOR 4 HARDWARE MARKET CLOTHING CITY NO 9 BAIXUE ROAD CHANGSHU JS CN,59.09090909090908,67.96116504854368,62.78684907325683
CHANGSHU AOGEJIA BUSINESS DEPARTMEN NO,4222-76 FOURTH FLOOR HARDWARE MARKET CHANGSHU JIANGSU CHINA,CHANGSHU ZUOYIYOUYI BUSINESS DEPART NO,4216-11 FOURTH FLOOR HARDWAR E MARKET NO 9BAIXUE ROAD CHANGSHU CLOTHING CHANGSHU JIA CHANGSHU CN,70.58823529411764,62.295081967213115,67.13275474124075
CHANGSHU BAOFENG SPECIAL FIBER CO,NO 22 LIANFENG RD CHANGSHU JIANGSU CHINA,CHANGSHU BESTEN INTERNATIONAL,NO 12 HUANGHE RD CHANGSHU 212000 CN,62.96296296296296,68.0,65.06172839506173
CHANGSHU BAOFENG SPECIAL FIBER CO,NO 22 LIANFENG RD CHANGSHU JIANGSU CHINA,CHANGSHU CHANGHONG MUSICAL,ZHUANGQIAO TOWN CHANGSHU JIANGSU C HINA,62.745098039215684,61.29032258064516,62.13894159814463
