index,group,shipper_name,first3_addresses,set,Location Index,Name Confidence,Address Confidence,Overall Similarity
344930,0.0,CHANGSHA XINGOUE TRADE CO LTD,ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAYUAN EAST ROAD AND E CHANGSHA FN,test,0,95.0,68.65671641791045,84.02363184079603
125424,0.0,CHANGSHA XINGQUE TRADE,1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD; 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E,test,0,100.0,71.81818181818183,88.25757575757576
308440,0.0,CHANGSHA XINGQUE TRADE CO LTD,RM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST RD AND E ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E CHA NGSHA,test,0,100.0,71.81818181818183,88.25757575757576
352249,,CHANGSHA XINYUANMEI BEAUTY PRODUCTS,NO 39 JINWANG ROAD SOUTH JINYU INDUSTRIAL PARK NINGXIANG COUNTY CHANGSHA CITY HUNAN PROVINCE CHINA,val,1,95.08196721311475,90.0,92.96448087431693
477135,,CHANGSHA XINZHIGUAN FURNITURE CO,ROOM 718 BUILDING 2 HAIFINGYUAN 229 GUYUANROAD CHANGSHA HIGH-TECH,val,-1,,,
491845,,CHANGSHA XIONGHANG IMPORT & EXPORT CO LTD,BLDG 2 CROSSROADS TUOJI RD PITAG VILLAGE CHANGSHA CITY CHINA,val,-1,,,
190984,,CHANGSHA XIRUAN TECHNOLOGY CO LTD,NO 188 FURONG MIDDLE ERDUAN RD RM 5039-5042-466 HELONG STADIUM,val,2,61.224489795918366,60.0,60.71428571428572
682823,,CHANGSHA XIYUETAO E COMMERCE CO,CHINA AFRICA ECONOMIC AND TRADE 5F R525 PHASE II CHANGSHA FN 410600,val,-1,,,
425728,,CHANGSHA XUANCAI DOUWA MATERNAL AND INFANTYADA INTERNATIONAL NEW CITY,NO 277 LIUYANG AVENUE JILI STREET,val,-1,,,
118100,,CHANGSHA XUANGOU TRADE CO LTD,ROOM 1301-3 BUILDING B-8 LUGU YUYUAN WORKSHOP NO 27 WENXUAN ROAD CHANGSHA HI-TECH DEVELOPMENT,val,-1,,,
