index,group,shipper_name,first3_addresses,set,Latitude,Longitude
344930,0.0,CHANGSHA XINGOUE TRADE CO LTD,ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAYUAN EAST ROAD AND E CHANGSHA FN,test,26.58235,101.71864
125424,0.0,CHANGSHA XINGQUE TRADE,1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD; 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E,test,6.7798569,-4.0825923
308440,0.0,CHANGSHA XINGQUE TRADE CO LTD,RM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST RD AND E ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD ;  ROOM 1201 BUILDING 12 CHINA RESO NORTH OF KAIYUAN EAST ROAD AND E CHA NGSHA,test,0.0,0.0
352249,,CHANGSHA XINYUANMEI BEAUTY PRODUCTS,NO 39 JINWANG ROAD SOUTH JINYU INDUSTRIAL PARK NINGXIANG COUNTY CHANGSHA CITY HUNAN PROVINCE CHINA,val,28.25831,112.56048
477135,,CHANGSHA XINZHIGUAN FURNITURE CO,ROOM 718 BUILDING 2 HAIFINGYUAN 229 GUYUANROAD CHANGSHA HIGH-TECH,val,0.0,0.0
491845,,CHANGSHA XIONGHANG IMPORT & EXPORT CO LTD,BLDG 2 CROSSROADS TUOJI RD PITAG VILLAGE CHANGSHA CITY CHINA,val,29.68783,89.08068
190984,,CHANGSHA XIRUAN TECHNOLOGY CO LTD,NO 188 FURONG MIDDLE ERDUAN RD RM 5039-5042-466 HELONG STADIUM,val,28.09351,82.36321
682823,,CHANGSHA XIYUETAO E COMMERCE CO,CHINA AFRICA ECONOMIC AND TRADE 5F R525 PHASE II CHANGSHA FN 410600,val,47.0303657,21.947129
425728,,CHANGSHA XUANCAI DOUWA MATERNAL AND INFANTYADA INTERNATIONAL NEW CITY,NO 277 LIUYANG AVENUE JILI STREET,val,0.0,0.0
118100,,CHANGSHA XUANGOU TRADE CO LTD,ROOM 1301-3 BUILDING B-8 LUGU YUYUAN WORKSHOP NO 27 WENXUAN ROAD CHANGSHA HI-TECH DEVELOPMENT,val,24.6608173,84.4333577
169008,,CHANGSHA XUNMING TRADE CO LTD,2 F CINOREHENSIVE BUILDING CHANGSHA HUANGHUA 410600 CHINA ;  2 F COMPREHENSIVE BG CHANGSHA HUANGHUA CHINA ;  2 F COMPREHENSIVE BLDG CHANGSHA HUANGHUA CHINA 410600,val,28.23,113.18833
213104,,CHANGSHA XYZ TRADE CO LTD,#101 NO 4 INDUSTRIAL OCCUPANCY NO 9 XINCAI ROAD CHANGSHU HUNAN CN ;  #101 NO 4 INDUSTRIAL OCCUPANCY NO 9 XINCAI ROAD H-TECH DEVELOPMEN ZONE CHANGSHA HUNAN CHINA,val,28.19874,112.97087
59314,,CHANGSHA YALIFANG TECHNOLOGY DEVELO 8TH,FLOOR BUILDING B ZHONGYU GREEN INDUSTRY WENGE ROAD GONGMING TOWN SHENZHEN CHINA,val,22.78743,113.88246
95822,,CHANGSHA YEE WIN CO LTD,NO 70 CHEZHAN N ROAD CHANGSHA 430000 CN ;  RM 1403 BUILDING 1 OAK PLAZA NO 588 LIUYANGHE ROAD CITY CHANGSHA CHINA ;  RM 1403 BUILDING 1 OAK PLAZA NO 588 LIUYANGHE ROAD CITY CHANGSHA PROVINCE HUNAN CHINA,test,28.19874,112.97087
697505,,CHANGSHA YIMANKEJI YOUXIANGONGSI,SHUYUANLU SHAHEJIE 90HAO-165,test,0.0,0.0
110658,,CHANGSHA YINGTAI INSTRUMENT CO LTD,LIAN DONG JIN YU INDUSTRIAL CENTER WANGCHENG ECONOMIC DEVELOPMENT ZONECHANGSHA CITY CHINA CN,val,36.8144,120.513
653682,,CHANGSHA YINGZHIJIE SHANGMAO CO LT,DXINHEJIEDAO WUJIALINGLU87HAO JUNYUEXIANGDI11DONG105,val,0.0,0.0
147356,,CHANGSHA YINJI GIFT TRADE CO LTD,ROOM G-601 SENLIN YAYUAN NO 39 OF WAYAO ROAD YUHUA DISTRICT CHANGSHA ;  ROOM G-601 SENLIN YAYUANNO 39 OF WAYAO ROAD YUHUA DISTRICT CHANGSHA C N,val,28.1301,113.03791
484448,,CHANGSHA YIWENG E COMMERCE CO LTD,CHINA HUNAN PILOT FREE TRADE Z ROO M 525-046 5TH FLOOR CHANGSHA FN 410600 ;  PILOT FREE TRADE Z ROOM 525-046 5THFLOOR CHANGSHA CN,test,28.19874,112.97087
704857,,CHANGSHA YIYAO FURNITURE CO LTD,NO 7 DONGSHENG ROAD CHENGJIAO STREET NINGXIANG CITY CHANGSHA CITY HUNAN PROVINCE 410699 CHINA,val,30.99997,108.30463
235191,,CHANGSHA YOUZHIFEI E COMMERCE CO,L RM 525-041 5TH FL GAOQIAO ST YUHUA BLOCK CHANGSHA AREA CN ; RM 525 041 5TH FL GAOQIAO ST YUHUA BLOCKCHANGSHA AREA HUNAN ; RM 525-041 5TH FL GAOQIAO ST YUHUA BLOCKCHANGSHA AREA HUNAN,test,28.58111,112.95333
726950,,CHANGSHA YU MING AUTO ELECTRIC CO,HONGKAIQIAO VILLAGE CHATING TOWN WANGCHEN DISTRICT CHANGSHA HUNAN 410000 CN,val,28.19874,112.97087
